Station number,Year,Month,Day,Maximum Temperature,,Solar Exposure,maximum wind speed
66212,2022,12,1st,21.6,,14.2,28
66212,2022,12,2nd,23.2,,25,33
66212,2022,12,3rd,24.2,,29.3,31
66212,2022,12,4th,26.7,,27.2,35
66212,2022,12,5th,32.3,,29,43
66212,2022,12,6th,23.6,,30.3,39
66212,2022,12,7th,28.2,,15.1,31
66212,2022,12,8th,23.3,,31.8,35
66212,2022,12,9th,20.6,,26.4,33
66212,2022,12,10th,22.9,,22.9,33
66212,2022,12,11th,30,,31.7,33
66212,2022,12,12th,31,,19,69
66212,2022,12,13th,28.6,,32,31
66212,2022,12,14th,25,,29.7,44
66212,2022,12,15th,24.1,,29.9,41
66212,2022,12,16th,21.2,,24.7,44
66212,2022,12,17th,20.6,,17.2,46
66212,2022,12,18th,20.7,,23.4,50
66212,2022,12,19th,22,,19.8,46
66212,2022,12,20th,21.9,,23.4,41
66212,2022,12,21st,23.5,,29.5,30
66212,2022,12,22nd,23.7,,12.6,22
66212,2022,12,23rd,31.1,,28.6,33
66212,2022,12,24th,33.7,,31.5,31
66212,2022,12,25th,29.1,,26,31
66212,2022,12,26th,32.3,,31.2,31
66212,2022,12,27th,30.1,,32.1,33
66212,2022,12,28th,30.8,,32,35
66212,2022,12,29th,23.8,,9.8,35
66212,2022,12,30th,25.8,,14.5,33
66212,2022,12,31st,27,,20,30
66212,2023,1,1st,26.8,,20.3,31
66212,2023,1,2nd,29,,29.9,35
66212,2023,1,3rd,29.5,,31.7,35
66212,2023,1,4th,25.4,,10.1,37
66212,2023,1,5th,22.1,,12,46
66212,2023,1,6th,19.4,,6.4,48
66212,2023,1,7th,23.3,,14.4,37
66212,2023,1,8th,24.8,,29.1,33
66212,2023,1,9th,28,,31.6,33
66212,2023,1,10th,26.6,,31,37
66212,2023,1,11th,26.1,,18.6,28
66212,2023,1,12th,26.8,,26,35
66212,2023,1,13th,27.1,,21.7,31
66212,2023,1,14th,26.7,,24.7,35
66212,2023,1,15th,30.4,,31.3,31
66212,2023,1,16th,27.5,,27.3,33
66212,2023,1,17th,28.4,,26.7,35
66212,2023,1,18th,32.9,,23.8,43
66212,2023,1,19th,19.6,,3.2,43
66212,2023,1,20th,21.7,,9.7,30
66212,2023,1,21st,24.7,,25.5,35
66212,2023,1,22nd,21.2,,7.4,17
66212,2023,1,23rd,26,,20.1,30
66212,2023,1,24th,,,28.6,33
66212,2023,1,25th,28.2,,28,28
66212,2023,1,26th,34.1,,24.1,35
66212,2023,1,27th,27.5,,18.7,28
66212,2023,1,28th,31.3,,27.8,33
66212,2023,1,29th,31.9,,16.7,33
66212,2023,1,30th,29.2,,10.8,30
66212,2023,1,31st,27.7,,15.4,33
66212,2023,2,1st,27.7,,29.2,31
66212,2023,2,2nd,33.5,,27.3,37
66212,2023,2,3rd,30.1,,28.7,37
66212,2023,2,4th,28.3,,29.1,39
66212,2023,2,5th,28.4,,29,31
66212,2023,2,6th,28.8,,27.2,35
66212,2023,2,7th,28,,19,31
66212,2023,2,8th,26.4,,14.5,39
66212,2023,2,9th,27,,10.6,33
66212,2023,2,10th,30.5,,28.2,26
66212,2023,2,11th,36.6,,26.7,30
66212,2023,2,12th,27.5,,26.2,46
66212,2023,2,13th,24.6,,13.8,33
66212,2023,2,14th,22.7,,9.2,26
66212,2023,2,15th,26.9,,23.5,30
66212,2023,2,16th,30.4,,27.2,31
66212,2023,2,17th,30.1,,27.2,35
66212,2023,2,18th,33.1,,22.3,72
66212,2023,2,19th,28,,19.9,26
66212,2023,2,20th,30.7,,26.3,28
66212,2023,2,21st,29.4,,24.8,39
66212,2023,2,22nd,21.7,,5.6,52
66212,2023,2,23rd,23.2,,10.2,31
66212,2023,2,24th,26.1,,21.1,33
66212,2023,2,25th,28,,20.1,33
66212,2023,2,26th,31.9,,25,30
66212,2023,2,27th,26.8,,14.3,31
66212,2023,2,28th,27.2,,15.3,26
